OACI,CIAD,Nome,Municipio,UF,Tipo
SNLI,MG0040,ABAETÉ,ABAETÉ,MG,Publico
SNMK,MG0017,MOCAMBINHO,JAÍBA,MG,Publico
SNMJ,BA0031,MARACÁS,MARACÁS,BA,Publico
SNMN,MG0075,MINAS NOVAS,MINAS NOVAS,MG,Publico
SNMX,ES0003,SÃO MATEUS,SÃO MATEUS,ES,Publico
SNMR,BA0065,MARAÚ,MARAÚ,BA,Publico
SNNE,MG0078,SEBASTIÃO CARLOS LEITE,SÃO JOÃO NEPOMUCENO,MG,Publico
SNNU,MG0041,NANUQUE,NANUQUE,MG,Publico
SNOE,PI0008,OEIRAS,OEIRAS,PI,Publico
SNOS,MG0024,MUNICIPAL JOSÉ FIGUEIREDO,PASSOS,MG,Publico
SNOX,PA0014,ORIXIMINÁ,ORIXIMINÁ,PA,Publico
SNPA,MG0052,PARÁ DE MINAS,PARÁ DE MINAS,MG,Publico
SNPC,PI0009,PICOS,PICOS,PI,Publico
SNPD,MG0010,PATOS DE MINAS,PATOS DE MINAS,MG,Publico
SNPJ,MG0042,PATROCÍNIO,PATROCÍNIO,MG,Publico
SNMZ,PA0020,PORTO DE MOZ,PORTO DE MOZ,PA,Publico
SBCZ,AC0002,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,Publico
SNPQ,PE0010,PESQUEIRA,PESQUEIRA,PE,Publico
SNPY,MG0013,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG,Publico
SNQD,PB0006,SOUSA,SOUSA,PB,Publico
SNQG,PI0003,CANGAPARA,FLORIANO,PI,Publico
SNPU,MG0073,COMANDANTE VIRGILIO BORIM,PARAGUAÇU,MG,Publico
SNQV,MG0044,CURVELO,CURVELO,MG,Publico
SNPX,MG0028,PIRAPORA,PIRAPORA,MG,Publico
SNRD,BA0048,PRADO,PRADO,BA,Publico
SNRM,BA0022,REMANSO,REMANSO,BA,Publico
SNRP,MG0066,RIO PARANAÍBA,RIO PARANAÍBA,MG,Publico
SNRU,PE0004,CARUARU,CARUARU,PE,Publico
SNQU,BA0032,MUCUGÊ,MUCUGÊ,BA,Publico
SNRZ,MG0049,OLIVEIRA,OLIVEIRA,MG,Publico
SNSE,BA0056,SENTO SÉ,SENTO SÉ,BA,Publico
SNQX,CE0010,QUIXADÁ,QUIXADÁ,CE,Publico
SNRX,MA0009,RIACHÃO,RIACHÃO,MA,Publico
SNSM,PA0029,SALINÓPOLIS,SALINÓPOLIS,PA,Publico
SNSS,MG0029,SALINAS,SALINAS,MG,Publico
SNTF,BA0016,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,BA,Publico
SNTI,PA0016,ÓBIDOS,ÓBIDOS,PA,Publico
SNSG,PE0008,SALGUEIRO,SALGUEIRO,PE,Publico
SNTQ,BA0053,BURITIRAMA,BURITIRAMA,BA,Publico
SNTS,PB0005,BRIGADEIRO FIRMINO AYRES,PATOS,PB,Publico
SNUB,MG0058,UBÁ,UBÁ,MG,Publico
SNUH,MG0054,PIUMHI,PIUMHI,MG,Publico
SNUI,MG0045,ARAÇUAÍ,ARAÇUAÍ,MG,Publico
SNUN,MG0055,UNAÍ,UNAÍ,MG,Publico
SNSI,MG0076,SANTA MARIA DO SUAÇUÍ,SANTA MARIA DO SUAÇUÍ,MG,Publico
SNVC,MG0074,VIÇOSA,VIÇOSA,MG,Publico
SNVD,BA0050,SANTA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA,Publico
SNVI,MG0035,MELLO VIANA,TRÊS CORAÇÕES,MG,Publico
SNVS,PA0015,BREVES,BREVES,PA,Publico
SNWC,CE0011,CAMOCIM,CAMOCIM,CE,Publico
SNWS,CE0005,CRATEÚS,CRATEÚS,CE,Publico
SNXB,MG0025,CAXAMBU,CAXAMBU,MG,Publico
SNTO,MG0048,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,Publico
SNYA,PA0024,AERÓDROMO PÚBLICO DE ALMEIRIM,ALMEIRIM,PA,Publico
SNYB,MG0047,TITO TEIXEIRA,ITUIUTABA,MG,Publico
SNVB,BA0008,VALENÇA,VALENÇA,BA,Publico
SNYU,MG0014,ITURAMA,ITURAMA,MG,Publico
SNZA,MG0038,POUSO ALEGRE,POUSO ALEGRE,MG,Publico
SNZR,MG0026,PEDRO RABELO DE SOUZA,PARACATU,MG,Publico
SSAB,PR0024,MOISÉS LUPION,IBAITI,PR,Publico
SSAE,RS0040,ARROIO GRANDE,ARROIO GRANDE,RS,Publico
SSAK,RS0048,CARLOS RUHL,CRUZ ALTA,RS,Publico
