"Código OACI","CIAD","Id to Tipo de Uso","Nome","Município","UF","Longitude","Latitude","Altitude","Operação Diurna","Operação Noturna","Designação 1","Comprimento 1","Largura 1","Resistência 1","Superfície 1","Designação 2","Comprimento 2","Largura 2","Resistência 2","Superfície 2","Portaria de Registro","Link Portaria"
"","PA0379",1,"AERO HECK","ALTAMIRA","PA","052°09'58""W","03°09'29""S","102 m","VFR","Sem Operação","","650 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12620.pdf","PA2023-12620"
"SSBC","SP0243",1,"Fazenda Barra do Tietê","CASTILHO","SP","051°35'19""W","20°43'34""S","340 m","VFR","Sem Operação","","1200 m","18 m","14/F/C/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-7754.pdf","PA2022-7754"
"SJBT","MS0148",1,"Fazenda Vera Lúcia","AQUIDAUANA","MS","056°05'58""W","19°34'28""S","127 m","VFR","Sem Operação","","600 m","30 m","3/F/B/Z/U","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2015-1286.pdf","PA2015-1286"
"SJWP","BA0125",1,"Warpol","SÃO DESIDÉRIO","BA","045°55'25""W","12°37'10""S","808 m","VFR","Sem Operação","","1700 m","30 m","5700 Kg /   0,50 MPa","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-1432.pdf","PA2020-1432"
"SNTK","SP1284",1,"Fazenda Bom Retiro","QUINTANA","SP","050°23'19""W","22°10'37""S","430 m","VFR","","","1000 m","20 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2064.pdf","PA2020-2064"
"SJDE","MS0149",1,"Fazenda União","JATEÍ","MS","054°05'51""W","22°38'39""S","406 m","VFR","Sem Operação","","1100 m","20 m","8/F/C/Y/U","Terra","","","","","","https://pergamum.anac.gov.br/arquivos/PA2021-4157.pdf","PA2021-4157"
"SWBX","MT0329",1,"Fazenda Santo Antônio do Paraíso","ITIQUIRA","MT","055°13'17""W","17°29'30""S","189 m","VFR","Sem Operação","","1400 m","18 m","12/F/B/Y/U","Asfalto","","","","","","https://pergamum.anac.gov.br/arquivos/PA2020-2032.pdf","PA2020-2032"
"SIED","MS0074",1,"Fazenda Espadim","PARANHOS","MS","055°20'09""W","23°47'39""S","378 m","VFR","Sem Operação","","799 m","18 m","5700 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2016-0861.pdf","PA2016-0861"
"","MT0581",1,"Fazenda Centro da Mata","NOVA UBIRATÃ","MT","055°03'17""W","13°04'33""S","400 m","VFR","Sem Operação","","1260 m","25 m","5700 Kg /   0,50 MPa","Cascalho","","","","","","https://pergamum.anac.gov.br/arquivos/PA2022-8460.pdf","PA2022-8460"
"SIOE","PR0051",1,"Mocelin","DOIS VIZINHOS","PR","053°02'09""W","25°47'38""S","575 m","VFR","Sem Operação","","440 m","18 m","3000 Kg /   0,50 MPa","Grama","","","","","","https://pergamum.anac.gov.br/arquivos/PA2023-12.932.pdf","PA2023-12.932"
